FACT-0001: synthetic checkpoint evidence row 0001; category=1; marker=ANERA-LONG-CONTEXT. FIRST_SENTINEL=731.
FACT-0002: synthetic checkpoint evidence row 0002; category=2; marker=ANERA-LONG-CONTEXT.
FACT-0003: synthetic checkpoint evidence row 0003; category=3; marker=ANERA-LONG-CONTEXT.
FACT-0004: synthetic checkpoint evidence row 0004; category=4; marker=ANERA-LONG-CONTEXT.
FACT-0005: synthetic checkpoint evidence row 0005; category=5; marker=ANERA-LONG-CONTEXT.
FACT-0006: synthetic checkpoint evidence row 0006; category=6; marker=ANERA-LONG-CONTEXT.
FACT-0007: synthetic checkpoint evidence row 0007; category=7; marker=ANERA-LONG-CONTEXT.
FACT-0008: synthetic checkpoint evidence row 0008; category=1; marker=ANERA-LONG-CONTEXT.
FACT-0009: synthetic checkpoint evidence row 0009; category=2; marker=ANERA-LONG-CONTEXT.
FACT-0010: synthetic checkpoint evidence row 0010; category=3; marker=ANERA-LONG-CONTEXT.
FACT-0011: synthetic checkpoint evidence row 0011; category=4; marker=ANERA-LONG-CONTEXT.
FACT-0012: synthetic checkpoint evidence row 0012; category=5; marker=ANERA-LONG-CONTEXT.
FACT-0013: synthetic checkpoint evidence row 0013; category=6; marker=ANERA-LONG-CONTEXT.
FACT-0014: synthetic checkpoint evidence row 0014; category=7; marker=ANERA-LONG-CONTEXT.
FACT-0015: synthetic checkpoint evidence row 0015; category=1; marker=ANERA-LONG-CONTEXT.
FACT-0016: synthetic checkpoint evidence row 0016; category=2; marker=ANERA-LONG-CONTEXT.
FACT-0017: synthetic checkpoint evidence row 0017; category=3; marker=ANERA-LONG-CONTEXT.
FACT-0018: synthetic checkpoint evidence row 0018; category=4; marker=ANERA-LONG-CONTEXT.
FACT-0019: synthetic checkpoint evidence row 0019; category=5; marker=ANERA-LONG-CONTEXT.
FACT-0020: synthetic checkpoint evidence row 0020; category=6; marker=ANERA-LONG-CONTEXT.
FACT-0021: synthetic checkpoint evidence row 0021; category=7; marker=ANERA-LONG-CONTEXT.
FACT-0022: synthetic checkpoint evidence row 0022; category=1; marker=ANERA-LONG-CONTEXT.
FACT-0023: synthetic checkpoint evidence row 0023; category=2; marker=ANERA-LONG-CONTEXT.
FACT-0024: synthetic checkpoint evidence row 0024; category=3; marker=ANERA-LONG-CONTEXT.
FACT-0025: synthetic checkpoint evidence row 0025; category=4; marker=ANERA-LONG-CONTEXT.
